filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,manual_quality,pred_orig_yolo_clf,pred_recon_yolo_clf
./cropped_plates/train\plate\LicensePlate_0.jpg,0.020368148,-1.2312127,-0.046711937,-1.0627998,-0.51229125,0.029751312,-0.017623883,-0.018624995,1.5505382,0.058544602,-0.009882735,-1.4449731,0.53909355,-0.75324774,0.0018065628,0.06948152,0.09231606,0.03303594,0.38184133,0.012525961,0.83227926,1.1811386,0.015690833,-0.18717024,0.7570326,-0.21637888,-0.12821066,0.058029592,-1.1290461,0.57103664,0.37457797,-0.14489016,-0.07775011,-0.048742503,-1.5463518,1.7710085,-0.005989909,0.85807824,-0.7993593,-0.025470186,-1.779301,-0.50655603,0.020194832,0.45392025,0.10375865,0.25570425,0.29354936,0.017058637,-0.99596334,-0.053675912,-0.4373109,1.5111827,-0.037666723,0.008832689,0.8738431,0.010055566,-0.39839214,0.95120126,0.7134261,0.5920035,-1.0479109,-0.006231442,0.019426715,-1.825657,3,,MPEHHSQRIF
./cropped_plates/train\plate\LicensePlate_1.jpg,-0.040906098,-0.60836655,0.007365144,0.46559796,2.234252,0.21677688,0.016408369,-0.0062410487,0.1295559,0.004285606,-0.13490614,1.1348969,2.8752751,0.43651214,0.16479263,1.050082,-0.12610741,0.0075594676,1.219078,-0.0133107295,1.472962,0.6128514,-0.03414707,1.1484609,-0.8305786,0.6029888,0.35639003,0.068437,0.9328636,-0.09424179,-0.21808745,-0.37754944,0.09512083,-0.48283702,-0.9230258,1.1414642,0.043116793,-0.52086955,2.0067966,0.017529197,0.49445018,0.3750105,0.0012875786,-0.8821496,-0.058368802,-1.6175249,0.38470104,0.14875202,0.46456808,-0.088773824,0.19020234,-1.3010083,0.0045915786,-0.3648569,0.38304383,-0.06941819,-0.75197005,1.2975376,0.9657617,-1.182455,0.057976924,-0.15507396,0.039162453,0.7145142,0,,
./cropped_plates/train\plate\LicensePlate_10.jpg,-0.096402824,-0.78351873,-0.05739314,1.3936071,-0.30883643,1.0381876,-0.012416053,-0.0206093,0.2084986,-0.12059275,0.012873346,-0.7087639,0.6361911,-0.87544495,0.046216562,0.2593693,0.011416913,-0.03240023,0.19090693,-0.014427471,0.21707326,-1.9189943,-0.0021947036,0.38420194,0.38108322,-0.88293415,0.14333156,0.06667099,0.8046708,0.46011555,-0.8431751,0.07669421,0.002111821,1.3798349,1.241937,1.0422671,0.06764334,-2.4667168,-0.8439058,-7.8525394e-05,-0.84766066,-1.1226107,0.04178223,-0.72942716,0.00021666754,1.1196836,0.2741618,-0.071110085,-0.34109035,0.038429447,-0.07779929,-0.008442445,-0.06644567,-0.90619403,1.145268,0.10313621,-1.5551815,0.26647285,0.2404669,-0.06557544,-0.17921792,-0.004546115,-0.0016377294,-0.67634434,3,,ITW21AT0K7
./cropped_plates/train\plate\LicensePlate_100.jpg,0.00085982913,1.7460511,-0.024754807,0.4852158,2.0224285,-0.93777853,0.048076615,-0.085493945,-0.24645232,-0.048243035,-0.042081658,-1.3310907,-0.6801167,0.21419732,-0.09522574,-0.35022482,0.029516026,0.037768506,0.13263063,0.012912462,-0.12271002,0.13564767,0.011336111,0.65123314,-0.34130618,-2.023951,0.046480738,0.052947294,-1.5473361,-0.242335,-1.5847973,-0.046435554,-0.038256455,0.29848066,-0.06795347,-0.3376299,0.014426784,-0.3615472,-0.50061613,0.025331099,-0.48043582,0.076482296,-0.039212115,0.25020024,-0.0751624,0.3793001,0.081916615,0.07654862,1.5832319,-0.085652985,-0.3987504,-0.8095439,0.020712003,-0.76894945,-2.1745117,0.006445818,0.8041754,2.0152724,0.6606648,-0.037258513,0.26015648,-0.05276583,-0.027803123,0.88428044,1,1SZHS26I,1SZH268
./cropped_plates/train\plate\LicensePlate_101.jpg,-0.113851845,0.7641477,0.038189746,-0.24133411,-0.53664666,3.421863,0.020535916,-0.107232116,-0.15325798,0.06853507,-0.10781112,0.35972935,0.42239434,-0.7213031,0.041755553,0.013790095,0.0529527,-0.052627414,0.9745575,-0.06855841,0.6896584,-0.36257607,-0.016536329,0.33587798,0.6871889,1.809011,0.06678148,0.09188723,-1.3332298,0.19409233,-1.0059874,0.2000014,-0.06912052,1.5714966,-0.1379589,-0.20130505,0.04904097,0.4861697,0.52248186,-0.057068374,-0.79905033,-1.2983875,-0.021288518,1.6650256,-0.108586825,-1.2678494,1.3117204,0.18350112,0.082235426,-0.08475077,-0.14287376,0.22510326,-0.012412308,0.9983142,-1.0079259,-0.12316251,0.90357596,-0.15833628,-0.4391434,-1.1995986,0.48435712,-0.059287466,-0.057567384,0.48642397,3,0H20CS1938,0B20CS1938
./cropped_plates/train\plate\LicensePlate_102.jpg,0.004891308,0.6767201,-0.05721591,0.8453824,0.50266767,0.123186804,-0.028424285,0.023604732,-0.2544734,-0.08085698,0.01691453,0.5919713,0.10255448,1.598526,-0.073724136,0.091265045,0.01324761,0.017007997,-0.086904384,-0.057583313,-1.0966583,-0.5194273,-0.05793079,-1.757237,1.0108443,0.28115848,0.00806362,0.023540242,-1.3006867,-0.1635022,-0.94915724,-0.115757644,-0.013364552,1.0530115,0.7734646,-1.9913205,-0.025897287,2.2032285,0.43566507,0.025847418,-0.09710589,0.4851731,0.00035705417,-0.02938458,-0.034790084,-0.50006145,-0.9241264,-0.002600003,0.78639984,0.051093437,-0.036659136,1.6678869,0.036428533,-0.04171778,-0.6196004,0.012288528,-0.43094587,-0.22541553,0.6822498,1.5779881,-0.14868413,0.058646575,0.09360662,0.5212844,3,,069
./cropped_plates/train\plate\LicensePlate_103.jpg,-0.13072373,-0.6465434,-0.028999701,0.18602812,-0.73245466,-1.5375671,0.04629321,0.045933984,-0.31600428,0.11035326,-0.025596313,0.090350166,-0.61581045,0.03273483,0.026040103,-0.16455205,0.021790273,-0.0045334096,-0.10947152,0.025590979,0.7813155,0.103138216,0.021077344,2.2018347,-0.06675759,0.7479898,-0.37106973,0.009504475,1.5346771,0.27015093,0.433931,-0.008470866,0.04341346,1.1642183,-0.2904182,-1.0748783,-0.02131705,-0.29572868,-0.11103378,-0.06481977,0.6288575,0.05875393,-0.061496448,0.090464346,0.04214683,2.4582117,-0.45707586,-0.080931276,-0.045233384,0.087341085,-0.3741379,-0.063248366,-0.059498608,-1.1804558,-2.2112432,0.044277716,0.33709985,-0.066406325,-1.3542944,-0.022875838,0.19520412,-0.047718577,0.028000701,-1.1452849,1,B,84
./cropped_plates/train\plate\LicensePlate_104.jpg,0.0321034,0.025880393,-0.073600456,-0.24676037,0.58476615,-0.17310826,0.023586929,0.0065366887,0.7403288,-0.0654177,-0.12589978,-0.2222496,0.07198426,0.6737647,0.07236299,0.15964954,-0.04214324,-0.045251645,-0.024955634,-0.020454481,0.41220132,0.9901361,0.029387165,1.2886485,-3.3405306,1.3806227,-0.072056875,-0.06525037,-0.333732,0.1864958,-2.1259036,0.29541436,-0.056283887,-0.10583213,1.6887839,0.8445177,0.07151943,-0.41284004,0.13954735,0.0396571,-1.8332233,0.45712113,-0.0071500195,-0.60130006,-0.06446916,-1.9475144,-0.97806555,0.09386334,1.2744961,-0.05633609,-0.27162546,0.35673055,-0.020667076,0.35453627,-1.8045739,-0.01048576,0.26446787,-0.11735448,-0.03643407,0.57271034,-0.61402786,-0.036280125,-0.042824525,-0.5735691,0,,
./cropped_plates/train\plate\LicensePlate_105.jpg,0.0063521983,0.036970094,0.021039318,2.2855382,-1.0991095,1.6416962,0.010734423,-0.044863936,0.8885372,0.023672676,-0.078577675,1.3613619,-0.899126,0.029014325,-0.03778764,-0.2126335,0.042561814,0.07506813,-0.61459386,0.014324087,-0.6010988,-0.5427111,0.06758501,-0.53741163,-1.0685121,0.4147212,-0.2761855,-0.021624625,-1.0108774,-0.26535058,1.5218878,-0.061475657,-0.012389919,0.12210182,-1.7612507,0.096643046,-0.0058966186,0.66933125,-0.36001492,-0.056289982,1.7971897,-0.0004504323,0.0116945915,0.6329756,0.00916309,-0.7477347,1.136189,0.011722168,0.12046027,-0.05564545,0.093479685,1.1607993,0.017203873,-0.014463421,0.38613796,-0.046554476,-1.6951166,0.0125126615,-0.34676677,0.5336408,0.13137862,-0.03898478,-0.039822586,0.0786546,0,,
./cropped_plates/train\plate\LicensePlate_106.jpg,-0.11232183,-1.1624281,-0.0022953646,0.7170384,-0.81212497,0.41360286,-0.0127177015,-0.00054081716,-0.1265878,-0.14234711,-0.016825587,0.20117764,0.5420522,-1.612571,0.068056874,-0.07876599,-0.00012810342,-0.0209985,-0.33542094,-0.041169968,0.68963945,0.48683745,0.005201284,0.57123756,0.062161285,-1.2422183,-0.2723554,-0.037541755,0.7394667,0.09854466,-0.51422906,-0.024446849,-0.019470297,-0.789876,-0.05825703,-0.636094,0.023180395,-2.2738743,-0.65077776,0.035151232,0.643057,0.90347147,-0.020344172,1.0185422,-0.0016483879,1.7172321,-0.6322503,-0.02599759,-0.20427324,0.046210036,-0.048250154,0.16483383,-0.0027013978,-1.9501332,-1.1802663,-0.0026756362,0.17886828,-0.6449196,0.77403986,0.24238122,0.1611998,-0.050602846,0.011219172,0.5049956,4,56CAB123X,96CAB123X
